video_id,metric,human_label,model_label,model_score,model_raw,human_range,raw_distance,bucket_distance,total_buckets,match_status,interpretation,notes
11,body_sway,optimal,optimal,57,0.9411,"[0.55, 1.0]",0.0,0.0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
11,gaze_stability,good,weak,54,0.1759,"[0.08, 0.15]",0.0259,1.0,4,off_by_1,Slightly unstable gaze (Weak). Occasional scanning.,
11,gesture_activity,optimal,optimal,50,4.5185,"[2.0, 5.0]",0.0,0.0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
11,gesture_magnitude,high,optimal,68,2.9154,"[3.0, 3.5]",0.0846,1.0,5,off_by_1,"High gesture dynamics (Excellent). Confident, expansive gestures.",
11,gesture_stability,optimal,high,40,13.4557,[< 5.0],8.4557,2.0,4,off_by_2,Mild instability (Weak). Occasional shaking.,
11,head_down_ratio,forward,mostly_down,7,0.6853,[< 0.1],0.5853,3.0,4,off_by_3,Head mostly facing down. Avoids audience.,
11,head_stability,stable,optimal,88,1.5695,"[0.6, 1.0]",0.5695,1.0,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
11,pause_ratio,optimal,optimal,88,0.0561,"[0.04, 0.08]",0.0,0.0,6,exact_match,Perfect rhythm. Natural flow with good pacing.,
11,pitch_dynamic,theatrical,optimal,100,3.573,"[4.5, 6.0]",0.927,1.0,5,off_by_1,Good expressiveness. Engaging vocal melody.,
11,posture_openness,open,open,100,2.9154,[> 0.7],0.0,0.0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
11,smile_activation,neutral,excessive,34,0.8222,"[0.74, 0.76]",0.0622,2.0,4,off_by_2,"Very high smile (Good). Highly radiant, possibly over-expressive.",
11,speech_rate,optimal,optimal,100,139.9198,"[120, 170]",0.0,0.0,6,exact_match,Optimal pace. Easy to follow and engaging.,
11,vocal_punch,optimal,muffled,2,12.9122,"[17.0, 21.0]",4.0878,2.0,5,off_by_2,Muffled/Flat (Weak). Lacks energy and attack.,
11,volume_dynamic,expressive,expressive,43,0.7505,"[0.75, 0.85]",0.0,0.0,5,exact_match,Highly dynamic. Strong emotional variation.,
16,body_sway,optimal,optimal,57,0.9265,"[0.55, 1.0]",0.0,0.0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
16,gaze_stability,good,good,64,0.1028,"[0.08, 0.15]",0.0,0.0,4,exact_match,Natural gaze behavior (Good). Natural eye contact.,
16,gesture_activity,optimal,optimal,69,4.1561,"[2.0, 5.0]",0.0,0.0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
16,gesture_magnitude,optimal,optimal,77,2.8604,"[1.8, 3.0]",0.0,0.0,5,exact_match,"High gesture dynamics (Excellent). Confident, expansive gestures.",
16,gesture_stability,optimal,high,31,17.6891,[< 5.0],12.6891,2.0,4,off_by_2,Mild instability (Weak). Occasional shaking.,
16,head_down_ratio,forward,mostly_down,10,0.5689,[< 0.1],0.4689,3.0,4,off_by_3,Head mostly facing down. Avoids audience.,
16,head_stability,stable,optimal,92,1.1425,"[0.6, 1.0]",0.1425,1.0,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
16,pause_ratio,low_pauses,frequent_pauses,13,0.1036,"[0.02, 0.04]",0.0636,2.0,6,off_by_2,Deliberate style. Clear but may lose momentum.,
16,pitch_dynamic,flat,optimal,100,2.5829,"[1.5, 2.0]",0.5829,1.0,5,off_by_1,Good expressiveness. Engaging vocal melody.,
16,posture_openness,neutral,open,100,2.8604,"[0.3, 0.7]",2.1604,1.0,3,off_by_1,"Open, expressive posture (Excellent). Good use of gestures.",
16,smile_activation,excessive,excessive,0,0.9831,[> 0.8],0.0,0.0,4,exact_match,"Very high smile (Good). Highly radiant, possibly over-expressive.",
16,speech_rate,optimal,optimal,100,163.2558,"[120, 170]",0.0,0.0,6,exact_match,Optimal pace. Easy to follow and engaging.,
16,vocal_punch,soft,optimal,100,17.2769,"[14.0, 17.0]",0.2769,1.0,5,off_by_1,"Strong vocal energy. Clear, punchy articulation.",
